,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),k
0,Treatment_time_270_both,None,-21.117615238949657,-4.967322821989655,-3.161202710978687,-2.6641148380562663,9.116977373650297,-4.067443981596537,2.571952653823256,19030,0
1,Treatment_time_270_both,ivt_mt_over_270mins,-86.6078185889125,-50.82216481890529,-28.60052112683654,-8.978244769833982,8.93738866403699,-31.955473929510582,28.095779090121045,30,0
2,Treatment_time_270_both,ivt_mt_under_270mins,-63.67211634485051,8.440120958136394,15.530073303636163,24.8117758930102,70.7468956786953,15.413883694997057,15.740693036002275,375,0
3,Treatment_time_270_both,ivt_under_270mins_mt_over_270mins,-88.50657973885536,-16.614282974861563,-9.77852109901607,-4.261942325010896,62.36555668972433,-9.695056825390276,14.3828005887586,400,0
4,Treatment_time_270_both,only_ivt_over_270mins,-68.18981387581677,-6.4288586633652445,0.6150251901894808,5.921986315324903,59.06492774706334,-1.7150078280653873,14.020416889278788,265,0
5,Treatment_time_270_both,only_ivt_under_270mins,-41.834165069274604,0.48230061248410494,2.578522321227938,4.57027304392308,24.82434109242633,2.163881753300835,3.7891281215879147,6945,0
6,Treatment_time_270_both,only_mt_over_270mins,-119.58006418081,-44.29518634296954,-30.584034715071322,-20.81807977307588,68.8469987371564,-33.25275051732266,22.724109008825852,280,0
7,Treatment_time_270_both,only_mt_under_270mins,-78.93440931722522,-20.039002617187798,-8.713048138432205,2.5557949804048983,56.81041954532266,-9.557671851989285,20.867869011925386,165,0
8,Treatment_time_270_both,None,-34.534622672088446,-7.422262999564409,-5.294857539990917,-4.506985888476484,23.78996795412153,-6.24393240853344,4.454771652151404,18710,1
9,Treatment_time_270_both,ivt_mt_over_270mins,-106.89465511254966,-59.2659587328881,-28.890032263994218,-3.9996405653748663,72.39653625681996,-30.219736893588777,41.08269561911496,20,1
10,Treatment_time_270_both,ivt_mt_under_270mins,-21.064641252160072,13.212910715322941,21.147113621719182,30.681725608762353,93.72932041138411,22.114146566890767,15.024755953487103,345,1
11,Treatment_time_270_both,ivt_under_270mins_mt_over_270mins,-92.77796999674291,-27.369934573471546,-19.579815705567597,-14.575285717407242,8.8095665660128,-22.167837623391954,12.480763132014868,385,1
12,Treatment_time_270_both,only_ivt_over_270mins,-50.06677999246865,-4.6026249825651755,3.8210948430979625,8.495716748791747,59.85523094252683,2.7235448006068976,13.98808456580546,285,1
13,Treatment_time_270_both,only_ivt_under_270mins,-35.434643763154746,1.2033859557006508,3.002124827466905,4.566611376265064,26.939184853099288,2.647281302767231,3.4137118915431848,6950,1
14,Treatment_time_270_both,only_mt_over_270mins,-153.81535768419505,-36.50871002621949,-25.68365963064134,-18.1970502860751,18.643410871997474,-29.11822597697222,21.004692287385662,275,1
15,Treatment_time_270_both,only_mt_under_270mins,-50.45288214260712,-19.945166377667338,-6.758700382970273,4.170421991837211,53.65737332578748,-6.172684200420728,19.412373429189792,150,1
16,Treatment_time_270_both,None,-26.967109128925948,-6.286516202762723,-4.1920642350893464,-3.5446810751315208,17.000226287320256,-5.2471247308090385,3.540707787778232,18860,2
17,Treatment_time_270_both,ivt_mt_over_270mins,-74.4694202247262,-23.809343314021824,-15.278072181940079,-10.197428879290818,5.437321155667305,-20.839890851064734,20.18406941625096,20,2
18,Treatment_time_270_both,ivt_mt_under_270mins,-22.329958823807537,15.847168897907249,23.74880525345914,33.73869632442016,108.48639730840921,25.430213374654084,15.619378215593661,370,2
19,Treatment_time_270_both,ivt_under_270mins_mt_over_270mins,-78.78868983544409,-12.939735627369956,-7.24390608066693,-1.078104894142598,69.50980541288853,-7.039194390691067,15.143416901745283,370,2
20,Treatment_time_270_both,only_ivt_over_270mins,-79.82591364461929,-9.729230690598488,-0.708332126699388,4.518987217603717,82.52451834201813,-3.2934817265315193,19.137750251130345,280,2
21,Treatment_time_270_both,only_ivt_under_270mins,-25.358916320353746,1.3663442543148994,3.235871742069721,4.776029868870974,20.283763796947895,2.8623384266745964,3.599334014790464,7045,2
22,Treatment_time_270_both,only_mt_over_270mins,-106.05586264213547,-36.82717278084718,-25.029936414230615,-14.303461232380942,42.562859746236356,-24.788784125661543,19.100234804571617,280,2
23,Treatment_time_270_both,only_mt_under_270mins,-59.947878338899464,-1.8579103900957852,6.419623212674633,18.8775330783939,77.32168681636453,7.6916498959354165,21.605969539415074,155,2
24,Treatment_time_270_both,None,-30.58959778012708,-5.713386196941137,-3.8589332902058957,-3.085166954062879,18.13912670088932,-4.672999902047785,2.7276183456798853,18725,3
25,Treatment_time_270_both,ivt_mt_over_270mins,-144.41744349695742,-62.11122487713583,-32.924602504391224,-9.057371992403642,64.34127561628819,-32.4338268125779,44.04337101991653,25,3
26,Treatment_time_270_both,ivt_mt_under_270mins,-49.00621166095138,4.650475315414369,13.882502868585288,23.487720072716474,66.26215723104775,13.310659335766017,15.843226851506646,400,3
27,Treatment_time_270_both,ivt_under_270mins_mt_over_270mins,-109.91663776487113,-16.536287265252323,-9.5973597864341,-3.7221711106924342,39.1780984229967,-11.038731861340972,15.221653739234656,385,3
28,Treatment_time_270_both,only_ivt_over_270mins,-53.45572601377964,-13.503232841119171,-3.864731765463948,0.1071167229488492,30.555392162017526,-5.676638590453526,13.22609892332849,265,3
29,Treatment_time_270_both,only_ivt_under_270mins,-48.8927706964314,0.4662101911008358,2.0296410851180555,3.5312243890762325,25.803878165781498,1.807772191748339,3.407744303168121,7020,3
