,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
128,stroke_severity_arrival,2.0,-21.201116425824583,-11.389012740128674,-9.969889209989924,-8.106932407924322,8.152873452242929,-9.623012394524222,2.6787685759627293,9430,2
129,stroke_severity_arrival,3.0,-19.800766577827744,-9.16015785044059,-7.753443413728382,-6.066011738663073,10.304261779537192,-7.633776242975383,2.384008883697299,8225,2
130,stroke_severity_arrival,4.0,-22.30139120778651,-6.563188091110787,-4.9481895348447145,-2.6731594617507652,10.781658065149095,-4.8406699702593805,2.7050990496961997,6760,2
131,stroke_severity_arrival,5.0,-19.912498120503734,-4.108949311720207,-2.383373223707313,-0.48673103465582246,6.609426447589649,-2.5827880215528256,2.583667112796351,5155,2
132,stroke_severity_arrival,6.0,-16.017249774826922,-1.8780171742281526,0.4492247921344824,1.6445027789846063,8.51722651920747,-0.24044179773487126,2.4443732050731732,4315,2
133,stroke_severity_arrival,7.0,-11.775304613793269,0.8493248657492223,3.2215403348300606,4.082362029316137,17.296979612117866,2.330214460032823,2.3976244610461412,3170,2
134,stroke_severity_arrival,8.0,-18.769883275047178,3.494465143448906,5.4955584498588,6.81486688365927,11.668418900290272,4.96781826583202,2.506794864258979,2575,2
135,stroke_severity_arrival,9.0,-15.370898942411877,5.133021031098906,6.957529078955412,9.029546742479143,20.784065877505345,6.895547509256949,2.8457335836418483,2175,2
136,stroke_severity_arrival,10.0,-37.674435372917216,6.958678990642657,9.014632327653235,11.297726195554715,24.28609536799835,8.93347316609696,3.22357699347061,1865,2
137,stroke_severity_arrival,11.0,-22.18635527442326,7.776393503398867,9.753458938896657,12.192691203841532,26.157713081509574,9.801888658186698,3.3367478892698306,1620,2
138,stroke_severity_arrival,12.0,-2.6900673612672836,9.365044819725444,12.086412784127752,15.119852026854641,33.61021138083655,12.098204456181998,3.883290177083802,1415,2
139,stroke_severity_arrival,13.0,-8.111726881099166,9.795693628082809,12.656506931671174,16.745603521368466,31.894640298475277,13.085198192184416,4.479598720561373,1360,2
140,stroke_severity_arrival,14.0,-16.616850447361358,10.817011035990436,14.92471640830394,18.369151928211505,37.790571667153856,14.800184764107827,5.080934297860437,1270,2
141,stroke_severity_arrival,15.0,-9.671400664658286,11.511776164949406,16.089162642488954,19.86627425586106,33.559861525689485,15.86424704078489,5.429259537780865,1170,2
142,stroke_severity_arrival,16.0,-1.9393970466894097,11.62860746315564,16.631741076507605,20.094396583487978,35.16920466021169,16.13816193465682,5.466256410721324,1110,2
143,stroke_severity_arrival,17.0,-0.2838906027795747,10.381812980347313,15.172754120877944,19.99555120817502,37.48940219523385,15.742408830537757,6.645487731882018,1115,2
144,stroke_severity_arrival,18.0,-12.648183061578312,10.112354266413021,15.774896884749177,20.528336210800333,37.956560139147335,15.763317504952068,6.821210009790596,1120,2
145,stroke_severity_arrival,19.0,-4.819693437524839,8.947807438409654,14.556330552351428,18.721190559618407,49.790821793423966,14.33733510750074,6.932525414769432,1025,2
146,stroke_severity_arrival,20.0,-5.346952348485356,8.015515165128745,12.989076293166146,18.5562216287505,47.509906790507955,14.159889940160989,7.697935601903202,945,2
147,stroke_severity_arrival,21.0,-4.899942555562593,6.633649515517755,11.350258197340299,16.77270093685569,39.986684575891125,12.250003775186887,7.248151645837018,845,2
148,stroke_severity_arrival,22.0,0.9307768696709536,7.466576419640915,13.895833504003239,20.255995341327797,72.4690997908276,14.78115454133781,8.56308628152357,840,2
149,stroke_severity_arrival,23.0,-5.049306668690406,4.3287937334307935,9.804891456260812,15.727297592477989,53.44712384825572,10.46617162546287,7.522966249767817,810,2
150,stroke_severity_arrival,24.0,-4.441009491250152,2.611683772146353,6.889775264703204,12.78113911208784,63.80870140849613,8.404162703959974,7.68274683521054,720,2
151,stroke_severity_arrival,25.0,-3.8990671406197364,2.7884545067010915,7.577605853024288,13.033915535027045,40.12363721936708,8.725564831631226,7.670113779256304,605,2
152,stroke_severity_arrival,26.0,-6.485757265333087,-0.6009688461909536,3.39357318049646,8.595156931718812,44.126868119188586,4.611341477536708,7.15470640896082,540,2
153,stroke_severity_arrival,27.0,-9.835171140716412,-2.2977771278552246,1.6811645485041664,8.254637083186244,43.146836056886244,3.9422380401542934,8.091081409382344,450,2
154,stroke_severity_arrival,28.0,-8.933585998519556,-4.134190508954926,-0.5584786222712137,4.300687829731324,51.46818555588834,1.684195380872011,8.008786962736348,390,2
155,stroke_severity_arrival,29.0,-28.44712467364734,-5.587447277832544,-2.847582218806492,0.8705834836693248,39.07285508575034,-1.1602937135513232,7.581826721989189,250,2
156,stroke_severity_arrival,30.0,-14.117628627998055,-6.665840585838305,-3.523565781010548,0.28740282953542196,38.73680927431909,-1.2479211710861555,8.607405728081435,255,2
157,stroke_severity_arrival,31.0,-14.322309975095559,-8.560286825849907,-6.499906745830085,-2.54221167861484,24.098158314510947,-4.411960666845211,6.3587997911875185,155,2
158,stroke_severity_arrival,32.0,-17.989968172458465,-8.773373713429319,-5.89630182277062,-2.4706206620796003,33.76644533539074,-4.343821544909232,7.354254357417441,115,2
159,stroke_severity_arrival,33.0,-16.90471018633805,-13.102437833170406,-9.876760993207572,-5.370833920765436,40.09019309089519,-7.1190729563435795,9.88537263896655,100,2
160,stroke_severity_arrival,34.0,-24.309779303910908,-14.225427016082685,-12.564309081450338,-7.060225156639936,11.880404306938871,-10.848696079708573,6.157303553954894,75,2
161,stroke_severity_arrival,35.0,-16.04692062279675,-12.410776000021432,-9.174212068493944,-5.554950997177221,14.351668352989945,-8.359756486643905,5.441946696578572,50,2
162,stroke_severity_arrival,36.0,-20.268607067278353,-12.397439606067492,-10.904289048403735,-8.031005916622817,19.46402390746982,-8.683877242475537,6.826538446398698,55,2
163,stroke_severity_arrival,37.0,-15.023023328265408,-11.841411576266692,-9.703934536048909,-6.392884307413478,56.4343254727032,-5.887517723002184,12.534591333509859,65,2
164,stroke_severity_arrival,38.0,-20.071573826022213,-12.959957493684051,-10.223123124559642,-7.408987260968716,11.335160547308623,-9.333007274974825,5.9772368620588425,45,2
165,stroke_severity_arrival,39.0,-18.870728521870333,-17.378110332023354,-14.901335412100888,-12.36857833560789,5.287126799309626,-14.036049582597235,4.962884451659788,30,2
