,feature name,feature value,min,1q,median,3q,max,mean,sd,n,kfold
166,stroke_severity_arrival,40.0,-272.8737789264089,-249.70755713404156,-238.84795457682105,-222.16732706639218,-185.63162481060718,-235.39408167861438,21.074835237813666,52,2
167,stroke_severity_arrival,41.0,-220.05137958805076,-214.54514037129934,-203.1568484218046,-175.27424912205896,-140.56749444352462,-193.96874006291085,24.62827657319952,17,2
168,stroke_severity_arrival,42.0,-260.4829548619408,-231.49098668076098,-217.2367052975856,-201.5970854110969,-160.13455213407985,-215.00703557773656,22.51024821418651,116,2
169,age,0-29,-61.265042553781534,28.31558810214512,34.772185228881426,43.30849336841493,119.94141708697192,35.303017026351895,17.801721488614834,320,2
170,age,30-59,-44.49997197954915,29.01186821152456,32.712886578468606,38.009333099350336,121.87012356300373,34.73155011344784,9.569617923721415,11913,2
171,age,60+,-160.2079785388522,-24.508711509460117,-5.432547189993784,10.684878374708351,68.06313435149379,-9.181830902238309,25.56167654639099,65150,2
172,prior_disability,0.0,-11.863467414602637,17.031560919471087,19.175101073752156,20.961529366266912,53.9957160206046,18.929164324504335,3.37906904387237,39157,2
173,prior_disability,1.0,-29.634598592906258,7.364402692378499,9.44179706986528,11.485959497080184,42.684420426469295,9.162693849591353,3.557935296557468,13854,2
174,prior_disability,2.0,-44.46847186881118,-10.079760442411061,-7.66004363739863,-5.4278266878216535,16.080727329300718,-7.924494864494172,4.177663861779558,8744,2
175,prior_disability,3.0,-110.35106273828075,-30.597353528724053,-27.51367276409175,-23.821138676831033,3.4391449372516947,-27.1515376598625,5.43999996152825,9568,2
176,prior_disability,4.0,-98.79352541642264,-49.873292761265766,-41.89405258924235,-34.7314404153917,4.696561795240268,-42.12659117446738,10.928954305560508,4818,2
177,prior_disability,5.0,-144.90429403646849,-69.71682210687548,-53.26828599846922,-42.76403627416119,51.295434280522166,-57.478441718352656,21.27906587192756,1233,2
178,any_afib_diagnosis,0.0,-11.549089931529016,2.458192444629967,3.110610625427216,3.8710051200166347,23.623350221589206,3.173598377847549,1.3189686322560954,58803,2
179,any_afib_diagnosis,1.0,-37.99866475116462,-13.073223687261343,-10.393775288034231,-7.998563230521977,21.770544751044362,-10.631195408460306,4.2064759305692005,18581,2
180,diabetes,0.0,-19.8912901972048,2.3012670208327473,2.883875015694648,3.9355189836164937,21.110068326881155,3.275177670070574,1.8232955914193099,59731,2
181,diabetes,1.0,-39.35709380017593,-7.685777709353715,-5.9730766446515915,-4.9698537710867825,29.807919672988355,-6.575579254703837,3.0862038694544287,17653,2
182,precise_onset_known,0.0,-21.04639059955254,-2.8509729880280794,-2.044818341396749,-1.3984970781952142,20.974909702278673,-2.164063236793268,1.5718615348726728,52525,2
183,precise_onset_known,1.0,-30.50392437012866,2.735699848206714,3.8107051171734927,5.103894961471669,43.19467559982091,4.054881838632501,2.6631152066151356,24859,2
184,IMD_2019_QUINTILES,1.0,-28.201119648534803,-2.349207859602757,-0.7872318816464394,0.759630748067284,48.88334296580637,-0.7025065365590374,3.057154441383471,15584,2
185,IMD_2019_QUINTILES,2.0,-22.990587147236802,-1.3609692727634684,-0.6588660777360201,0.05434881516266614,22.472319763936103,-0.659432195609773,1.699010610733414,15383,2
186,IMD_2019_QUINTILES,3.0,-20.952268587616274,0.6645020413282328,1.3954465132020415,2.1004508724273183,19.444032908892257,1.4648061467165674,1.6759661860741242,15931,2
187,IMD_2019_QUINTILES,4.0,-28.955712942648677,-0.41814274578588084,0.5301457058265805,1.403132629819447,32.59333321714774,0.4569642803731105,2.1988715848037548,15662,2
188,IMD_2019_QUINTILES,5.0,-50.917603179384024,-0.7375637303246185,1.0453773715812713,2.823863110844977,47.19336705449503,0.8770406166085074,3.5647471458546396,14824,2
189,stroke_severity_arrival,0.0,-26.117351828878746,27.355446838079953,31.166215795781465,34.196055921008806,48.43535919047892,30.098436354794085,6.1088687607187175,7287,3
190,stroke_severity_arrival,1.0,-23.336152183897795,42.509154439084234,47.74875121556222,51.304286887925116,67.57794526852668,47.10686850869597,6.1822164935967665,7609,3
191,stroke_severity_arrival,2.0,2.536607812363654,38.10694783614949,42.136140555590394,45.187376962043345,71.75492468340322,41.59177008062476,5.311052831587948,9511,3
192,stroke_severity_arrival,3.0,-24.757190152374097,27.46666165686678,30.552996036545373,32.796831183284525,74.91254420746118,29.966116955517695,4.571795170852479,8097,3
193,stroke_severity_arrival,4.0,-2.1041252402029933,30.239603036118204,33.35792594486848,35.18139276150614,54.731182493641974,32.60912112974661,3.810776667077455,6595,3
194,stroke_severity_arrival,5.0,-14.87834014605265,23.831914011682382,26.595598135148176,29.050902127213774,45.35782569352537,26.514641772977722,3.672742119060805,5215,3
195,stroke_severity_arrival,6.0,-10.933253878746182,16.562630565464495,18.642922424725256,20.612166711809113,49.801875767889435,18.57643053500538,3.5724755349578263,4169,3
196,stroke_severity_arrival,7.0,-24.390690087350084,4.599578296481631,6.83288086835295,9.181693894083146,44.230099668568,6.905202133195472,4.546633084753933,3191,3
197,stroke_severity_arrival,8.0,-42.029552466128955,-4.359743335004896,-1.5668979919655248,0.7450679353717714,50.379115426731296,-1.71035080218869,5.078347632449845,2693,3
198,stroke_severity_arrival,9.0,-54.009026568438856,-15.491925826217049,-12.07572387421038,-8.497401604442857,37.48848323252751,-11.943790668175282,6.158468957771458,2223,3
199,stroke_severity_arrival,10.0,-68.00130580047146,-25.438700675442814,-20.621671169716866,-16.026169954547658,41.85723219254054,-20.56201177104849,7.638362534772165,1899,3
200,stroke_severity_arrival,11.0,-58.80063255382236,-34.97195627600653,-28.85256111619063,-22.233808776272927,17.45896845121868,-27.90213581768561,9.606734421880935,1647,3
201,stroke_severity_arrival,12.0,-78.98021850768477,-45.04133190475055,-37.67609275297262,-29.58535557566909,6.1686615550844,-36.54231968725941,11.512287281584596,1394,3
202,stroke_severity_arrival,13.0,-80.66855316192843,-57.956558513115155,-51.6947444045078,-41.62944697122672,9.147749093100428,-48.888212037888124,12.751544494127446,1340,3
203,stroke_severity_arrival,14.0,-99.64265474054963,-74.53493285689038,-67.0772472353978,-57.270552815040574,27.766327031436376,-64.53841747902655,13.887029201804976,1253,3
204,stroke_severity_arrival,15.0,-143.5922063650284,-84.2598482854804,-75.26139948369935,-63.42905090757645,-3.685658463286236,-72.67291958639805,15.044737377734828,1195,3
