,kfold,r2 score,mae score,mape score
0,0,0.11860035000612434,20.515562,1097976300000000.0
1,1,0.12488983069823001,20.438648,958918000000000.0
2,2,0.11944141835429367,20.506042,987745000000000.0
3,3,0.12202755274870025,20.498865,943305140000000.0
4,4,0.12035891747246175,20.442425,1019018500000000.0
